id,name,place_type,gmina,powiat,wojewodztwo,lat,lon,country,source
26639,Pobratymy,village,Grębków,węgrowski,mazowieckie,52.2848788258222,21.9891047184046,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26640,Pobyłkowo Duże,village,Pokrzywnica,pułtuski,mazowieckie,52.5557709426514,21.01653430762383,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26641,Pobyłkowo Małe,village,Pokrzywnica,pułtuski,mazowieckie,52.55390505747744,21.035188963178463,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26642,Pobórka Mała,village,Białośliwie,pilski,wielkopolskie,53.15079949116099,17.106059403806263,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26643,Pobórka Wielka,village,Białośliwie,pilski,wielkopolskie,53.132285000643726,17.10363560697067,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26644,Pobórz,village,Oporów,kutnowski,łódzkie,52.2924062216171,19.5193809436897,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26645,Pobórze,village,Ostróda,ostródzki,warmińsko-mazurskie,53.60238204744506,19.93481341424412,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26646,Pobądz,village,Tychowo,białogardzki,zachodniopomorskie,53.993452687011256,16.306151141743943,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26647,Pobłocie,village,Linia,wejherowski,pomorskie,54.46916667,18.07333333,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26648,Pobłocie,village,Główczyce,słupski,pomorskie,54.632491395643925,17.504491004139652,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26649,Pobłocie Małe,village,Gościno,kołobrzeski,zachodniopomorskie,54.0466526803242,15.7273420159589,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26650,Pobłocie Wielkie,village,Karlino,białogardzki,zachodniopomorskie,54.04657166388385,15.757229955292072,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26651,Pociecha,village,Grabów,łęczycki,łódzkie,52.1445177986967,19.0800165246568,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26652,Pocierzyn,village,Osięciny,radziejowski,kujawsko-pomorskie,52.6904616095269,18.6960113042284,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26653,Pociękarb,village,Reńska Wieś,kędzierzyńsko-kozielski,opolskie,50.3174232710622,18.0851763210931,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26654,Poczałkowo,village,Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie,52.814716242753306,18.650956425565894,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26655,Poczernin,village,Stargard,stargardzki,zachodniopomorskie,53.42339537099719,14.951330991799184,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26656,Poczernin,village,Płońsk,płoński,mazowieckie,52.5683947797782,20.4419547637614,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26657,Poczernino,village,Karlino,białogardzki,zachodniopomorskie,54.09151213325066,15.8388883708678,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26658,Poczesna,village,Poczesna,częstochowski,śląskie,50.71397152905,19.1339043106674,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26659,Pocześle,village,Józefów nad Wisłą,opolski,lubelskie,50.99323824876527,21.861566551233636,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26660,Poczopek,village,Szudziałowo,sokólski,podlaskie,53.2599040278316,23.643714132994244,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26661,Poczołków,village,Zębowice,oleski,opolskie,50.7718909160156,18.3934401426682,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26662,Pod Komorzą,village,Tuchola,tucholski,kujawsko-pomorskie,53.64556788961542,17.82168028531473,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26663,Pod Lasem,village,Tuchola,tucholski,kujawsko-pomorskie,53.63452724223906,17.901096118200854,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26664,Podanin,village,Chodzież,chodzieski,wielkopolskie,52.95242125537064,16.943783922193603,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26665,Podarzewo,village,Pobiedziska,poznański,wielkopolskie,52.531481067798246,17.294124901918313,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26666,Podatkówek,village,Pacyna,gostyniński,mazowieckie,52.26166857,19.66944315,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26667,Podawacz,village,Brąszewice,sieradzki,łódzkie,51.5266086374859,18.4524987765523,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26668,Podawce,village,Paprotnia,siedlecki,mazowieckie,52.2920048184834,22.4630740315301,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26669,Podańsko,village,Goleniów,goleniowski,zachodniopomorskie,53.5342620670525,14.8818212998989,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26670,Podbale,village,Jadów,wołomiński,mazowieckie,52.4633841723395,21.7113019318641,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26671,Podbiel,village,Celestynów,otwocki,mazowieckie,52.013409890387365,21.36780248551894,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26672,Podbiel,village,Zagórów,słupecki,wielkopolskie,52.13466104132075,17.993190847041166,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26673,Podbiele,village,Stary Lubotyń,ostrowski,mazowieckie,52.8975,21.96888889,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26674,Podbielko,village,Stary Lubotyń,ostrowski,mazowieckie,52.91055556,21.99333333,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26675,Podbielsko,village,Orchowo,słupecki,wielkopolskie,52.53104753762736,18.078148818203243,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26676,Podbolesławiec,village,Bolesławiec,wieruszowski,łódzkie,51.2050063570265,18.1780120676413,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26677,Podborcze,village,Radecznica,zamojski,lubelskie,50.70566192968085,22.849665075363568,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26678,Podborek,village,Rytwiany,staszowski,świętokrzyskie,50.491740127220666,21.119284708022303,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26679,Podborowisko,village,Narew,hajnowski,podlaskie,52.86414463588993,23.606476051735108,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26680,Podborowo,village,Pakosław,rawicki,wielkopolskie,51.6106846613132,16.9985258414462,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26681,Podborsko,village,Tychowo,białogardzki,zachodniopomorskie,53.93350015863415,16.138245018982904,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26682,Podborze,village,Różan,makowski,mazowieckie,52.88694444,21.34972222,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26683,Podborze,village,Olesno,dąbrowski,małopolskie,50.2138505215127,20.9591266025321,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26684,Podborze,village,Ostrów Mazowiecka,ostrowski,mazowieckie,52.82776423,21.93742952,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26685,Podborze,village,Radomyśl Wielki,mielecki,podkarpackie,50.2385965665589,21.3259342977122,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26686,Podbrzezie Dolne,village,Kożuchów,nowosolski,lubuskie,51.759497145932144,15.6102571383218,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26687,Podbrzezie Górne,village,Kożuchów,nowosolski,lubuskie,51.72994918607464,15.575090554811892,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
